N_boletim,data_hora_boletim,seq_veic,cod_categ,descricao_categoria,cod_especie,descricao_especie,cod_situacao,desc_situacao,tipo_socorro,desc_tipo_socorro
2022-012717347-001,21/03/2022 17:20,2,3,PARTICULAR,6,AUTOMOVEL,2,PARADO,0,NÃO INFORMADO
2022-012717886-001,25/03/2022 08:18,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012717886-001,25/03/2022 08:18,2,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012718746-001,25/03/2022 08:32,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012718746-001,25/03/2022 08:32,2,3,PARTICULAR,1,BICICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012721060-001,25/03/2022 09:06,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012721060-001,25/03/2022 09:06,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012723645-001,25/03/2022 10:11,1,3,PARTICULAR,6,AUTOMOVEL,2,PARADO,6,NÃO SE APLICA
2022-012723645-001,25/03/2022 10:11,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012727342-001,25/03/2022 09:26,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,3,AMBULANCIA
2022-012728362-001,25/03/2022 09:46,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012728362-001,25/03/2022 09:46,2,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012736707-001,25/03/2022 10:55,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012736707-001,25/03/2022 10:55,2,4,ALUGUEL,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012738000-001,25/03/2022 10:53,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012739362-001,25/03/2022 11:42,1,3,PARTICULAR,6,AUTOMOVEL,2,PARADO,6,NÃO SE APLICA
2022-012739362-001,25/03/2022 11:42,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012747854-001,25/03/2022 13:13,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012747854-001,25/03/2022 13:13,2,4,ALUGUEL,7,MICROONIBUS,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012750676-001,25/03/2022 13:39,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012759482-001,23/03/2022 17:30,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012759482-001,23/03/2022 17:30,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,0,NÃO INFORMADO
2022-012761949-001,25/03/2022 14:24,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012761949-001,25/03/2022 14:24,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012767801-001,25/03/2022 13:57,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012767801-001,25/03/2022 13:57,2,4,ALUGUEL,7,MICROONIBUS,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012767905-001,25/03/2022 12:45,1,3,PARTICULAR,26,CAMINHONETE,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012767905-001,25/03/2022 12:45,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012782039-001,25/03/2022 15:33,1,3,PARTICULAR,6,AUTOMOVEL,2,PARADO,6,NÃO SE APLICA
2022-012782039-001,25/03/2022 15:33,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012782314-001,25/03/2022 16:05,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012794650-001,25/03/2022 16:38,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012798596-001,25/03/2022 16:42,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012798596-001,25/03/2022 16:42,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012798724-001,25/03/2022 16:54,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012798724-001,25/03/2022 16:54,2,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012800844-001,25/03/2022 16:37,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012800844-001,25/03/2022 16:37,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,0,NÃO INFORMADO
2022-012802191-001,25/03/2022 17:49,1,4,ALUGUEL,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012802191-001,25/03/2022 17:49,2,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012802191-001,25/03/2022 17:49,3,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,0,NÃO INFORMADO
2022-012807075-001,25/03/2022 17:36,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,3,AMBULANCIA
